Model,Accuracy,Precision,Recall,F1
TFIDF + LogReg (liblinear),0.5341614906832298,0.5462962962962963,0.6941176470588235,0.6113989637305699
TFIDF + LinearSVC,0.5217391304347826,0.5465116279069767,0.5529411764705883,0.5497076023391813
